STATION_NA,coordinates
ADMIRALTY MRT STATION,"[[103.800533463258, 1.44015239674676], [103.801364534451, 1.4405333880723], [103.80054245816, 1.44059628565794], [103.800989521918, 1.44034566128304]]"
ALJUNIED MRT STATION,"[[103.882472887782, 1.31648793030408], [103.882496650457, 1.31623848534471]]"
ANG MO KIO MRT STATION,"[[103.849343273705, 1.3694405305965], [103.849596100655, 1.36968532219972], [103.849939000741, 1.3694647065051], [103.84982457248, 1.36988237526817]]"
BAKAU LRT STATION,"[[103.905445630714, 1.38818538545215], [103.905482124043, 1.387840799257]]"
BANGKIT LRT STATION,"[[103.772590574209, 1.37985334676455]]"
BARTLEY MRT STATION,"[[103.878908693925, 1.34350106152933], [103.880255893265, 1.34224874921609]]"
BAYFRONT MRT STATION,"[[103.859596872187, 1.28283490868894], [103.859759180227, 1.28270522470828], [103.85873192474, 1.28096742397164], [103.858441003652, 1.28110463709187], [103.859493846611, 1.28283435447098]]"
BEAUTY WORLD MRT STATION,"[[103.775450679441, 1.34158221454984], [103.775984296226, 1.3416961499328], [103.775761545626, 1.33998187378458]]"
BEDOK MRT STATION,"[[103.929157143095, 1.32356863615635], [103.929673089995, 1.32426834276114], [103.929404279689, 1.32407464586546]]"
BEDOK NORTH MRT STATION,"[[103.917810526029, 1.33442257655151], [103.918049823987, 1.33512626621364], [103.919062823449, 1.33416607444721], [103.919134302662, 1.33437249020327]]"
BEDOK RESERVOIR MRT STATION,"[[103.933487189855, 1.33655490332863], [103.932886822506, 1.33634776089978]]"
BENCOOLEN MRT STATION,"[[103.849271703873, 1.29769911765443], [103.850843384717, 1.29919519603019], [103.849560477591, 1.29819940045567]]"
BENDEMEER MRT STATION,"[[103.863074005937, 1.31385250562225], [103.863219231431, 1.3134807250256]]"
BISHAN MRT STATION,"[[103.850201081965, 1.35105321993329], [103.848304991722, 1.35057959871202], [103.84831225598, 1.35106443927374], [103.848432923875, 1.35103483777104], [103.848209281294, 1.35058491153989]]"
BOON KENG MRT STATION,"[[103.860706833288, 1.31791481647231], [103.861502357069, 1.32010687599131], [103.861903675519, 1.31923519599748]]"
BOON LAY MRT STATION,"[[103.705650038035, 1.33862950779597], [103.7053533532, 1.3385141209312], [103.705795031365, 1.33827322197702], [103.706145547967, 1.33842069565789], [103.705955152611, 1.33873810873339], [103.705408994969, 1.33827998808197]]"
BOTANIC GARDENS MRT STATION,"[[103.814976905734, 1.32253463294936], [103.815914145792, 1.32268461233639]]"
BRADDELL MRT STATION,"[[103.847440830591, 1.34067216394317], [103.846406497231, 1.34074431901447], [103.846429540721, 1.34106899206951]]"
BRAS BASAH MRT STATION,"[[103.850474275507, 1.29604621307724], [103.851327253386, 1.29685892177104], [103.850249852705, 1.29701443296395], [103.85015752098, 1.29755148518356], [103.850423192511, 1.29753545171709]]"
BRIGHT HILL MRT STATION,"[[103.833635413994, 1.36403718216562], [103.833510631569, 1.36328276235517], [103.831953829452, 1.3631639565255], [103.832375711055, 1.36218380484981]]"
BUANGKOK MRT STATION,"[[103.893463152237, 1.38264972282021], [103.892883836731, 1.3834097909899]]"
BUGIS MRT STATION,"[[103.855685703914, 1.30000694069987], [103.856336627673, 1.3007821987657], [103.855924081461, 1.30120408956464], [103.856890654867, 1.29907884888673]]"
BUKIT BATOK MRT STATION,"[[103.749936955579, 1.34938958776808], [103.749766564931, 1.34952006073274], [103.749118394189, 1.34840537590496], [103.749973990258, 1.34956107535244]]"
BUKIT GOMBAK MRT STATION,"[[103.751726614847, 1.35906497975184], [103.752076389375, 1.35906984624156], [103.751950990526, 1.35929785281919], [103.752092995698, 1.35869526126909]]"
BUKIT PANJANG LRT STATION,"[[103.763063555247, 1.37802038374966], [103.763178520546, 1.3778632485676], [103.762722523556, 1.37792792775255], [103.763251851956, 1.37802410264834]]"
BUKIT PANJANG MRT STATION,"[[103.761922934209, 1.37900796974076], [103.759597843573, 1.38074511730578], [103.762034360871, 1.37876623763886], [103.761370504957, 1.37861889401251]]"
BUONA VISTA MRT STATION,"[[103.790930065154, 1.30629814162477], [103.790449175303, 1.30730945077024], [103.790656619433, 1.30719725705854], [103.79059939037, 1.30691288861046]]"
CALDECOTT MRT STATION,"[[103.839406731225, 1.33710531669564], [103.840387499238, 1.33825972994181], [103.840464745299, 1.33783202317926], [103.839882429752, 1.33675087511065]]"
