school_name,Longitude,Latitude
ADMIRALTY PRIMARY SCHOOL,103.8004349,1.4430507
AHMAD IBRAHIM PRIMARY SCHOOL,103.8329088,1.4336469
AI TONG SCHOOL,103.8326996,1.3610409
ALEXANDRA PRIMARY SCHOOL,103.8239482,1.2912231
ANCHOR GREEN PRIMARY SCHOOL,103.88641,1.3908224
ANDERSON PRIMARY SCHOOL,103.841152,1.3846475
ANG MO KIO PRIMARY SCHOOL,103.8397698,1.3693579
ANGLO-CHINESE SCHOOL (JUNIOR),103.8407541,1.3079762
ANGLO-CHINESE SCHOOL (PRIMARY),103.8351516,1.318658
ANGSANA PRIMARY SCHOOL,103.9516662,1.3487202
BEACON PRIMARY SCHOOL,103.773662,1.3831646
BEDOK GREEN PRIMARY SCHOOL,103.9377216,1.3238879
BENDEMEER PRIMARY SCHOOL,103.8652708,1.3219586
BLANGAH RISE PRIMARY SCHOOL,103.8086662,1.2761648
BOON LAY GARDEN PRIMARY SCHOOL,103.7130261,1.3429012
BUKIT PANJANG PRIMARY SCHOOL,103.7692692,1.3735592
BUKIT TIMAH PRIMARY SCHOOL,103.7667899,1.3375747
BUKIT VIEW PRIMARY SCHOOL,103.7538466,1.3462491
CANBERRA PRIMARY SCHOOL,103.8156625,1.4510122
CANOSSA CATHOLIC PRIMARY SCHOOL,103.8821841,1.3262882
CANTONMENT PRIMARY SCHOOL,103.8399684,1.2757851
CASUARINA PRIMARY SCHOOL,103.9569647,1.3725108
CEDAR PRIMARY SCHOOL,138.5357351,-34.8835419
CHANGKAT PRIMARY SCHOOL,103.9522864,1.340245
CHIJ (KATONG) PRIMARY,103.9106025,1.3070206
CHIJ (KELLOCK),103.8279868,1.2750173
CHIJ OUR LADY OF GOOD COUNSEL,103.8640735,1.3578867
CHIJ OUR LADY OF THE NATIVITY,103.8824871,1.3576174
CHIJ OUR LADY QUEEN OF PEACE,103.7676585,1.3665299
CHIJ PRIMARY (TOA PAYOH),103.8419732,1.3329853
CHONGFU SCHOOL,103.8430688,1.4361806
CHONGZHENG PRIMARY SCHOOL,103.9514995,1.3509048
CHUA CHU KANG PRIMARY SCHOOL,103.7416866,1.3776692
CLEMENTI PRIMARY SCHOOL,103.7630618,1.3155212
COMPASSVALE PRIMARY SCHOOL,103.8980513,1.3945602
CONCORD PRIMARY SCHOOL,103.745047,1.3852291
CORPORATION PRIMARY SCHOOL,103.7072467,1.3507851
DAMAI PRIMARY SCHOOL,103.9211901,1.335554
DAZHONG PRIMARY SCHOOL,103.7481567,1.358992
DE LA SALLE SCHOOL,103.7442519,1.3942471
EAST SPRING PRIMARY SCHOOL,103.9619506,1.3535912
EDGEFIELD PRIMARY SCHOOL,103.9076926,1.4004367
ELIAS PARK PRIMARY SCHOOL,103.9457487,1.3752983
ENDEAVOUR PRIMARY SCHOOL,103.8174392,1.4545081
EVERGREEN PRIMARY SCHOOL,103.795038,1.444082
FAIRFIELD METHODIST SCHOOL (PRIMARY),103.7794345,1.3038064
FARRER PARK PRIMARY SCHOOL,103.8506617,1.3120816
FENGSHAN PRIMARY SCHOOL,103.93195,1.3298137
FERN GREEN PRIMARY SCHOOL,103.8799579,1.397487
FERNVALE PRIMARY SCHOOL,103.8741794,1.3900136
FIRST TOA PAYOH PRIMARY SCHOOL,103.8555874,1.3402882
FRONTIER PRIMARY SCHOOL,103.7004812,1.3368352
FUCHUN PRIMARY SCHOOL,103.778088,1.4302
FUHUA PRIMARY SCHOOL,103.7368584,1.3363794
GAN ENG SENG PRIMARY SCHOOL,103.814562,1.2867651
GEYLANG METHODIST SCHOOL (PRIMARY),103.8837624,1.3180734
GONGSHANG PRIMARY SCHOOL,103.9491792,1.3571773
GREENDALE PRIMARY SCHOOL,103.9127624,1.3962299
GREENRIDGE PRIMARY SCHOOL,103.767924,1.3857529
GREENWOOD PRIMARY SCHOOL,103.8049796,1.4396782
HAIG GIRLS' SCHOOL,103.9027084,1.3119421
HENRY PARK PRIMARY SCHOOL,103.7841686,1.3167014
HOLY INNOCENTS' PRIMARY SCHOOL,103.8930475,1.3666821
HONG WEN SCHOOL,103.857695,1.3219501
HORIZON PRIMARY SCHOOL,103.9131649,1.3999233
HOUGANG PRIMARY SCHOOL,103.880741,1.3773784
