school_name,mainlevel_code,Longitude,Latitude
ADMIRALTY PRIMARY SCHOOL,PRIMARY,103.8004349,1.4430507
ADMIRALTY SECONDARY SCHOOL,SECONDARY,103.8024734,1.4462376
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,103.8329088,1.4336469
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,103.8299439,1.4361584
AI TONG SCHOOL,PRIMARY,103.8326996,1.3610409
ALEXANDRA PRIMARY SCHOOL,PRIMARY,103.8239482,1.2912231
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,103.88641,1.3908224
ANDERSON PRIMARY SCHOOL,PRIMARY,103.841152,1.3846475
ANDERSON SECONDARY SCHOOL,SECONDARY,103.8514247,1.3745694
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,103.8448366,1.3762884
ANG MO KIO PRIMARY SCHOOL,PRIMARY,103.8397698,1.3693579
ANG MO KIO SECONDARY SCHOOL,SECONDARY,103.8430018,1.3678468
ANGLICAN HIGH SCHOOL,SECONDARY,103.9424173,1.3300312
ANGLO-CHINESE JUNIOR COLLEGE,JUNIOR COLLEGE,103.7846704,1.3026662
ANGLO-CHINESE SCHOOL (BARKER ROAD),SECONDARY,103.8359107,1.3188307
ANGLO-CHINESE SCHOOL (INDEPENDENT),MIXED LEVELS,103.7805601,1.3041778
ANGLO-CHINESE SCHOOL (JUNIOR),PRIMARY,103.8407541,1.3079762
ANGLO-CHINESE SCHOOL (PRIMARY),PRIMARY,103.8351516,1.318658
ANGSANA PRIMARY SCHOOL,PRIMARY,103.9516662,1.3487202
ASSUMPTION ENGLISH SCHOOL,SECONDARY,103.76621,1.3694697
ASSUMPTION PATHWAY SCHOOL,SECONDARY,103.766424,1.3706055
BARTLEY SECONDARY SCHOOL,SECONDARY,103.8822521,1.3406509
BEACON PRIMARY SCHOOL,PRIMARY,103.773662,1.3831646
BEATTY SECONDARY SCHOOL,SECONDARY,103.8521508,1.3417947
BEDOK GREEN PRIMARY SCHOOL,PRIMARY,103.9377216,1.3238879
BEDOK GREEN SECONDARY SCHOOL,SECONDARY,103.935478,1.3339721
BEDOK SOUTH SECONDARY SCHOOL,SECONDARY,103.9511065,1.324557
BEDOK VIEW SECONDARY SCHOOL,SECONDARY,103.9445573,1.3250719
BENDEMEER PRIMARY SCHOOL,PRIMARY,103.8652708,1.3219586
BENDEMEER SECONDARY SCHOOL,SECONDARY,103.8614214,1.3245569
BLANGAH RISE PRIMARY SCHOOL,PRIMARY,103.8086662,1.2761648
BOON LAY GARDEN PRIMARY SCHOOL,PRIMARY,103.7130261,1.3429012
BOON LAY SECONDARY SCHOOL,SECONDARY,103.7022037,1.3422777
BOWEN SECONDARY SCHOOL,SECONDARY,103.8777433,1.3701471
BROADRICK SECONDARY SCHOOL,SECONDARY,103.8869961,1.307581
BUKIT BATOK SECONDARY SCHOOL,SECONDARY,103.7402334,1.348343
BUKIT MERAH SECONDARY SCHOOL,SECONDARY,103.813486,1.2859978
BUKIT PANJANG GOVT. HIGH SCHOOL,SECONDARY,103.7384042,1.3819464
BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,103.7692692,1.3735592
BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,103.7667899,1.3375747
BUKIT VIEW PRIMARY SCHOOL,PRIMARY,103.7538466,1.3462491
BUKIT VIEW SECONDARY SCHOOL,SECONDARY,103.7532888,1.3454742
CANBERRA PRIMARY SCHOOL,PRIMARY,103.8156625,1.4510122
CANBERRA SECONDARY SCHOOL,SECONDARY,103.8144723,1.453743
CANOSSA CATHOLIC PRIMARY SCHOOL,PRIMARY,103.8821841,1.3262882
CANTONMENT PRIMARY SCHOOL,PRIMARY,103.8399684,1.2757851
CASUARINA PRIMARY SCHOOL,PRIMARY,103.9569647,1.3725108
CATHOLIC HIGH SCHOOL,MIXED LEVELS,103.8454566,1.3550626
CATHOLIC JUNIOR COLLEGE,JUNIOR COLLEGE,103.8355473,1.324642
CEDAR GIRLS' SECONDARY SCHOOL,SECONDARY,103.874066,1.3342922
CEDAR PRIMARY SCHOOL,PRIMARY,138.5357351,-34.8835419
CHANGKAT CHANGI SECONDARY SCHOOL,SECONDARY,103.9528086,1.3410469
CHANGKAT PRIMARY SCHOOL,PRIMARY,103.9522864,1.340245
CHIJ (KATONG) PRIMARY,PRIMARY,103.9106025,1.3070206
CHIJ (KELLOCK),PRIMARY,103.8279868,1.2750173
CHIJ KATONG CONVENT,SECONDARY,103.9173806,1.3065882
CHIJ OUR LADY OF GOOD COUNSEL,PRIMARY,103.8640735,1.3578867
CHIJ OUR LADY OF THE NATIVITY,PRIMARY,103.8824871,1.3576174
CHIJ OUR LADY QUEEN OF PEACE,PRIMARY,103.7676585,1.3665299
CHIJ PRIMARY (TOA PAYOH),PRIMARY,103.8419732,1.3329853
CHIJ SECONDARY (TOA PAYOH),SECONDARY,103.8432709,1.3324544
CHIJ ST. JOSEPH'S CONVENT,SECONDARY,103.9025211,1.3918631
CHIJ ST. NICHOLAS GIRLS' SCHOOL,MIXED LEVELS,103.8348651,1.3743993
CHIJ ST. THERESA'S CONVENT,SECONDARY,103.8218088,1.2752498
CHONGFU SCHOOL,PRIMARY,103.8430688,1.4361806
CHONGZHENG PRIMARY SCHOOL,PRIMARY,103.9514995,1.3509048
CHRIST CHURCH SECONDARY SCHOOL,SECONDARY,103.7934263,1.4264062
CHUA CHU KANG PRIMARY SCHOOL,PRIMARY,103.7416866,1.3776692
CHUA CHU KANG SECONDARY SCHOOL,SECONDARY,103.7525746,1.3833946
CHUNG CHENG HIGH SCHOOL (MAIN),SECONDARY,103.8910771,1.3059683
CHUNG CHENG HIGH SCHOOL (YISHUN),SECONDARY,103.8375598,1.4188659
CLEMENTI PRIMARY SCHOOL,PRIMARY,103.7630618,1.3155212
CLEMENTI TOWN SECONDARY SCHOOL,SECONDARY,103.7617945,1.3154188
COMMONWEALTH SECONDARY SCHOOL,SECONDARY,103.7456038,1.3196178
COMPASSVALE PRIMARY SCHOOL,PRIMARY,103.8980513,1.3945602
COMPASSVALE SECONDARY SCHOOL,SECONDARY,103.9001254,1.3963705
CONCORD PRIMARY SCHOOL,PRIMARY,103.745047,1.3852291
CORPORATION PRIMARY SCHOOL,PRIMARY,103.7072467,1.3507851
CRESCENT GIRLS' SCHOOL,SECONDARY,103.8177493,1.2936915
CREST SECONDARY SCHOOL,SECONDARY,103.7429905,1.3432043
DAMAI PRIMARY SCHOOL,PRIMARY,103.9211901,1.335554
DAMAI SECONDARY SCHOOL,SECONDARY,103.9215479,1.3370403
DAZHONG PRIMARY SCHOOL,PRIMARY,103.7481567,1.358992
DE LA SALLE SCHOOL,PRIMARY,103.7442519,1.3942471
DEYI SECONDARY SCHOOL,SECONDARY,103.8523895,1.3661779
DUNEARN SECONDARY SCHOOL,SECONDARY,103.7453218,1.3628678
DUNMAN HIGH SCHOOL,MIXED LEVELS,103.8830092,1.3001648
DUNMAN SECONDARY SCHOOL,SECONDARY,103.9561168,1.3610284
EAST SPRING PRIMARY SCHOOL,PRIMARY,103.9619506,1.3535912
EAST SPRING SECONDARY SCHOOL,SECONDARY,103.9606858,1.3568002
EDGEFIELD PRIMARY SCHOOL,PRIMARY,103.9076926,1.4004367
EDGEFIELD SECONDARY SCHOOL,SECONDARY,103.9021282,1.3998258
ELIAS PARK PRIMARY SCHOOL,PRIMARY,103.9457487,1.3752983
ENDEAVOUR PRIMARY SCHOOL,PRIMARY,103.8174392,1.4545081
EUNOIA JUNIOR COLLEGE,JUNIOR COLLEGE,103.8394527,1.3626165
EVERGREEN PRIMARY SCHOOL,PRIMARY,103.795038,1.444082
EVERGREEN SECONDARY SCHOOL,SECONDARY,103.7935705,1.4414286
FAIRFIELD METHODIST SCHOOL (PRIMARY),PRIMARY,103.7794345,1.3038064
FAIRFIELD METHODIST SCHOOL (SECONDARY),SECONDARY,103.7845323,1.3016941
FARRER PARK PRIMARY SCHOOL,PRIMARY,103.8506617,1.3120816
FENGSHAN PRIMARY SCHOOL,PRIMARY,103.93195,1.3298137
FERN GREEN PRIMARY SCHOOL,PRIMARY,103.8799579,1.397487
FERNVALE PRIMARY SCHOOL,PRIMARY,103.8741794,1.3900136
FIRST TOA PAYOH PRIMARY SCHOOL,PRIMARY,103.8555874,1.3402882
FRONTIER PRIMARY SCHOOL,PRIMARY,103.7004812,1.3368352
FUCHUN PRIMARY SCHOOL,PRIMARY,103.778088,1.4302
FUHUA PRIMARY SCHOOL,PRIMARY,103.7368584,1.3363794
FUHUA SECONDARY SCHOOL,SECONDARY,103.7266655,1.3472995
GAN ENG SENG PRIMARY SCHOOL,PRIMARY,103.814562,1.2867651
GAN ENG SENG SCHOOL,SECONDARY,103.823772,1.2898687
GEYLANG METHODIST SCHOOL (PRIMARY),PRIMARY,103.8837624,1.3180734
GEYLANG METHODIST SCHOOL (SECONDARY),SECONDARY,103.8828971,1.3181272
GONGSHANG PRIMARY SCHOOL,PRIMARY,103.9491792,1.3571773
GREENDALE PRIMARY SCHOOL,PRIMARY,103.9127624,1.3962299
GREENDALE SECONDARY SCHOOL,SECONDARY,103.9117179,1.396986
GREENRIDGE PRIMARY SCHOOL,PRIMARY,103.767924,1.3857529
GREENRIDGE SECONDARY SCHOOL,SECONDARY,103.7735301,1.3829226
GREENWOOD PRIMARY SCHOOL,PRIMARY,103.8049796,1.4396782
GUANGYANG SECONDARY SCHOOL,SECONDARY,103.8506075,1.3444987
HAI SING CATHOLIC SCHOOL,SECONDARY,103.954463,1.374513
HAIG GIRLS' SCHOOL,PRIMARY,103.9027084,1.3119421
HENRY PARK PRIMARY SCHOOL,PRIMARY,103.7841686,1.3167014
HILLGROVE SECONDARY SCHOOL,SECONDARY,103.7530941,1.3538159
HOLY INNOCENTS' HIGH SCHOOL,SECONDARY,103.8824871,1.3576174
HOLY INNOCENTS' PRIMARY SCHOOL,PRIMARY,103.8930475,1.3666821
HONG WEN SCHOOL,PRIMARY,103.857695,1.3219501
HORIZON PRIMARY SCHOOL,PRIMARY,103.9131649,1.3999233
HOUGANG PRIMARY SCHOOL,PRIMARY,103.880741,1.3773784
HOUGANG SECONDARY SCHOOL,SECONDARY,103.8821388,1.3775793
HUA YI SECONDARY SCHOOL,SECONDARY,103.7216353,1.351496
HUAMIN PRIMARY SCHOOL,PRIMARY,103.843334,1.4266998
HWA CHONG INSTITUTION,MIXED LEVELS,103.8040585,1.3254864
INNOVA PRIMARY SCHOOL,PRIMARY,103.7906489,1.4292373
JIEMIN PRIMARY SCHOOL,PRIMARY,103.8304814,1.4277189
JING SHAN PRIMARY SCHOOL,PRIMARY,103.8518564,1.3719194
JUNYUAN PRIMARY SCHOOL,PRIMARY,103.9396356,1.3478621
JUNYUAN SECONDARY SCHOOL,SECONDARY,103.93347,1.3533854
JURONG PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,103.7536953,1.3848221
JURONG PRIMARY SCHOOL,PRIMARY,103.7329113,1.3487057
JURONG SECONDARY SCHOOL,SECONDARY,103.7242827,1.3305163
JURONG WEST PRIMARY SCHOOL,PRIMARY,103.6988498,1.3390605
JURONG WEST SECONDARY SCHOOL,SECONDARY,103.7025853,1.3360175
JURONGVILLE SECONDARY SCHOOL,SECONDARY,103.7291022,1.3517285
JUYING SECONDARY SCHOOL,SECONDARY,103.6872229,1.3393008
KEMING PRIMARY SCHOOL,PRIMARY,103.7563674,1.3454074
KENT RIDGE SECONDARY SCHOOL,SECONDARY,103.7649225,1.3014063
KHENG CHENG SCHOOL,PRIMARY,103.8475485,1.3371414
KONG HWA SCHOOL,PRIMARY,103.8881958,1.3110692
KRANJI PRIMARY SCHOOL,PRIMARY,103.7469398,1.3938586
KRANJI SECONDARY SCHOOL,SECONDARY,103.7416049,1.3900744
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,PRIMARY,103.8550691,1.3494954
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,SECONDARY,103.8549002,1.3505688
LAKESIDE PRIMARY SCHOOL,PRIMARY,103.7181332,1.338385
LIANHUA PRIMARY SCHOOL,PRIMARY,103.7540674,1.3540997
LOYANG VIEW SECONDARY SCHOOL,SECONDARY,103.9568241,1.3669822
MAHA BODHI SCHOOL,PRIMARY,103.8962436,1.3264069
MANJUSRI SECONDARY SCHOOL,SECONDARY,103.9012733,1.3275771
MARIS STELLA HIGH SCHOOL,MIXED LEVELS,103.8778091,1.3415379
MARSILING PRIMARY SCHOOL,PRIMARY,103.7736814,1.4342543
MARSILING SECONDARY SCHOOL,SECONDARY,103.7763046,1.4381712
MARYMOUNT CONVENT SCHOOL,PRIMARY,103.8401164,1.3402078
MAYFLOWER PRIMARY SCHOOL,PRIMARY,103.8431724,1.3766693
MAYFLOWER SECONDARY SCHOOL,SECONDARY,103.8354783,1.3687245
MEE TOH SCHOOL,PRIMARY,103.9088902,1.3947284
MERIDIAN PRIMARY SCHOOL,PRIMARY,103.9356306,1.3761439
MERIDIAN SECONDARY SCHOOL,SECONDARY,103.9492253,1.3675649
METHODIST GIRLS' SCHOOL (PRIMARY),PRIMARY,103.7841023,1.3316333
METHODIST GIRLS' SCHOOL (SECONDARY),SECONDARY,103.7841023,1.3316333
MILLENNIA INSTITUTE,CENTRALISED INSTITUTE,103.7406731,1.3511083
MONTFORT JUNIOR SCHOOL,PRIMARY,103.8895442,1.3739123
MONTFORT SECONDARY SCHOOL,SECONDARY,103.8890709,1.3734625
NAN CHIAU HIGH SCHOOL,SECONDARY,103.8897708,1.3884836
NAN CHIAU PRIMARY SCHOOL,PRIMARY,103.8907709,1.3923639
NAN HUA HIGH SCHOOL,SECONDARY,103.769803,1.3080492
NAN HUA PRIMARY SCHOOL,PRIMARY,103.7615298,1.3195789
NANYANG GIRLS' HIGH SCHOOL,SECONDARY,103.8028406,1.3301748
NANYANG JUNIOR COLLEGE,JUNIOR COLLEGE,103.8666847,1.350905
NANYANG PRIMARY SCHOOL,PRIMARY,-0.160042,51.4916165
NATIONAL JUNIOR COLLEGE,MIXED LEVELS,103.8050509,1.3314929
