school_name,Longitude,Latitude
ANDERSON SERANGOON JUNIOR COLLEGE,103.8448366,1.3762884
ANGLO-CHINESE JUNIOR COLLEGE,103.7846704,1.3026662
CATHOLIC JUNIOR COLLEGE,103.8355473,1.324642
EUNOIA JUNIOR COLLEGE,103.8394527,1.3626165
JURONG PIONEER JUNIOR COLLEGE,103.7536953,1.3848221
NANYANG JUNIOR COLLEGE,103.8666847,1.350905
ST. ANDREW'S JUNIOR COLLEGE,103.8630605,1.333222
TAMPINES MERIDIAN JUNIOR COLLEGE,103.9372882,1.3766098
VICTORIA JUNIOR COLLEGE,103.9188626,1.3072613
YISHUN INNOVA JUNIOR COLLEGE,103.8290613,1.4252965
