Mall Name,Region,Latitude,Longitude
100 AM,Central,1.2899175,103.8519072
313@Somerset,Central,1.3010188,103.8385057
Aperia,Central,1.3105906,103.8641514
Balestier Hill Shopping Centre,Central,1.32542415,103.8425542
Bugis Cube,Central,1.2982756,103.8555546
Bugis Junction,Central,1.2989008,103.855176
Bugis+,Central,1.299966,103.8552892
Capitol Piazza,Central,1.2929876,103.8511619
Cathay Cineleisure Orchard,Central,1.3014468,103.8364807
Clarke Quay Central,Central,1.2886446,103.8465734
The Centrepoint,Central,1.3018345,103.8397127
City Square Mall,Central,1.3113537,103.8565712
City Gate Mall,Central,1.3022509,103.8625132
CityLink Mall,Central,1.2921921,103.8545358
Duo,Central,1.299844299,103.8585614
Far East Plaza,Central,1.3071429,103.8336405
Funan,Central,1.291313,103.8499471
Great World City,Central,1.29345175,103.8319929
GRiD,Central,1.40339215,103.9690582
HDB Hub,Central,1.3319765,103.8485384
Holland Village Shopping Mall,Central,1.310912,103.7951937
ION Orchard,Central,1.30394785,103.8319051
Junction 8,Central,1.3505893,103.8487447
Knightsbridge,Central,1.303387231,103.8368498
Liat Towers,Central,1.3050783,103.8307259
Lucky Plaza,Central,1.3046029,103.8339122
Marina Bay Sands,Central,1.2836965,103.8607226
The Shoppes at Marina Bay Sands,Central,1.2840209,103.8588683
Marina Bay Link Mall,Central,1.2808361,103.8539888
Marina Square,Central,1.29071265,103.8583454
Millenia Walk,Central,1.292471,103.8596399
Mustafa Shopping Centre,Central,1.3099676,103.8554251
Ngee Ann City,Central,1.30261705,103.8345284
One Holland Village,Central,1.3111708,103.7941552
Orchard Central,Central,1.30064265,103.8399231
Orchard Gateway,Central,1.30063325,103.8389821
Orchard Plaza,Central,1.3012311,103.8411237
Midpoint Orchard,Central,1.3017143,103.8386311
Palais Renaissance,Central,1.3067203,103.8296522
People's Park Centre,Central,1.28583565,103.8440337
People's Park Complex,Central,1.28413865,103.842557
Plaza Singapura,Central,1.3004414,103.8449028
Raffles City,Central,1.2933906,103.8532557
Scotts Square,Central,1.30583435,103.8329333
Shaw House and Centre,Central,1.3062932,103.8318472
Sim Lim Square,Central,1.3030332,103.8530255
Singapore Shopping Centre,Central,1.2981147,103.8441112
The South Beach,Central,1.2957395,103.8566136
Square 2,Central,1.3206362,103.8441867
Sunshine Plaza,Central,1.30035675,103.8509415
Suntec City,Central,1.2942651,103.8591876
Tanglin Mall,Central,1.3048201,103.8238677
Tanjong Pagar Centre,Central,1.276623,103.8431577
Tekka Centre,Central,1.30619115,103.8506146
The Adelphi,Central,1.2911776,103.851395
The Paragon,Central,1.3039633,103.8360565
Tiong Bahru Plaza,Central,1.2863599,103.827333
The Poiz,Central,1.33161365,103.8683688
Thomson Plaza,Central,1.35454475,103.8308206
United Square,Central,1.31725795,103.8436009
Thomson V,Central,1.3534286,103.835574
Velocity@Novena Square,Central,1.3197981,103.8440434
Wheelock Place,Central,1.3046691,103.8306003
Wisma Atria,Central,1.30369665,103.8332876
Zhongshan Mall,Central,1.3266546,103.846438
Bedok Mall,East,1.32486265,103.9292277
Century Square,East,1.35237745,103.9438195
City Plaza,East,1.3147175,103.8934143
Changi City Point,East,1.334113,103.9627137
Downtown East,East,1.3773722,103.954648
Djitsun Mall Bedok,East,1.32612935,103.929555
Eastpoint Mall,East,1.3424679,103.9528535
Jewel Changi Airport,East,1.36022425,103.9896749
KINEX,East,1.31476385,103.894707
Katong Shopping Centre,East,1.30387795,103.9011731
Katong Square,East,1.30470365,103.9048008
Kallang Wave Mall,East,1.3035502,103.8727811
Leisure Park Kallang,East,1.3022347,103.8765544
i12 Katong,East,1.3052106,103.9050088
Our Tampines Hub,East,1.3530262,103.9406728
Parkway Parade,East,1.30137335,103.9051778
Pasir Ris Mall,East,1.3737492,103.9486867
Pasir Ris West Plaza,East,1.379485,103.935886
Paya Lebar Square,East,1.31862245,103.8926348
Paya Lebar Quarter,East,1.31862245,103.8926348
Roxy Square,East,1.3043505,103.9040714
Singpost Centre,East,1.31895315,103.8947901
