school_name,Longitude,Latitude
ANGLO-CHINESE SCHOOL (INDEPENDENT),103.7805601,1.3041778
CATHOLIC HIGH SCHOOL,103.8454566,1.3550626
CHIJ ST. NICHOLAS GIRLS' SCHOOL,103.8348651,1.3743993
DUNMAN HIGH SCHOOL,103.8830092,1.3001648
HWA CHONG INSTITUTION,103.8040585,1.3254864
MARIS STELLA HIGH SCHOOL,103.8778091,1.3415379
NATIONAL JUNIOR COLLEGE,103.8050509,1.3314929
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,103.769198,1.3066171
RAFFLES INSTITUTION,103.8456507,1.3477464
RIVER VALLEY HIGH SCHOOL,103.7095028,1.3438944
"SCHOOL OF THE ARTS, SINGAPORE",103.8487574,1.2994132
SINGAPORE SPORTS SCHOOL,103.789056,1.426703
ST. JOSEPH'S INSTITUTION,103.8289312,1.3238015
TEMASEK JUNIOR COLLEGE,103.9562746,1.3574345
