PCA Variance,Sample Size,Num Components,Explained Variance,Optimal Bandwidth
0.75,5000,2,0.8111060040613863,48.0
0.75,10000,2,0.8111060040613863,Singular Matrix Error
0.75,20000,2,0.8111060040613863,Singular Matrix Error
0.8,5000,2,0.8111060040613863,48.0
0.8,10000,2,0.8111060040613863,Singular Matrix Error
0.8,20000,2,0.8111060040613863,Singular Matrix Error
0.85,5000,3,0.885550066713733,50.0
0.85,10000,3,0.885550066713733,Singular Matrix Error
0.85,20000,3,0.885550066713733,Singular Matrix Error
0.9,5000,4,0.9299864244750807,52.0
0.9,10000,4,0.9299864244750807,Singular Matrix Error
0.9,20000,4,0.9299864244750807,Singular Matrix Error
0.95,5000,5,0.9509022057763175,54.0
0.95,10000,5,0.9509022057763175,Singular Matrix Error
0.95,20000,5,0.9509022057763175,Singular Matrix Error
0.97,5000,7,0.985480907398886,81.0
0.97,10000,7,0.985480907398886,Singular Matrix Error
0.97,20000,7,0.985480907398886,Singular Matrix Error
0.99,5000,8,0.9910172729927172,83.0
0.99,10000,8,0.9910172729927172,Singular Matrix Error
0.99,20000,8,0.9910172729927172,Singular Matrix Error

0.75,7500,2,0.8111060040613863,Singular Matrix Error
0.8,7500,2,0.8111060040613863,47.0
0.85,7500,3,0.885550066713733,49.0
0.9,7500,4,0.9299864244750807,Singular Matrix Error
0.95,7500,5,0.9509022057763175,53.0
0.97,7500,7,0.985480907398886,74.0
0.99,7500,8,0.9910172729927172,61.0

0.97,8000,7,0.985480907398886,71.0
0.97,9000,7,0.985480907398886,Singular Matrix Error
0.97,10000,7,0.985480907398886,Singular Matrix Error
